institution_name,domain,organization_name,duration_weeks,stipend_amount,mode,is_ppo_linked,program_source,description
"Anurag Institute of Technology and Science, Aurangabad",Scientific Writing,HDFC Bank,6,5095,offline,False,General,"Support data collection, analysis and reporting for the scientific writing practice at Chhabra, Datta and Dhawan."
"Hindustan College of Engineering, Ajmer",Automobile Engineering,Meesho,9,14089,online,False,General,Work on live projects with the Agarwal LLC automobile engineering team; contribute to sprint deliverables and documentation.
"Galgotias Engineering College, Jabalpur",Large Language Models,Tech Mahindra,9,0,offline,False,General,Learn industry workflows in large language models while supporting day-to-day operations and quality checks.
"Geethanjali Institute of Technology, Hamirpur",Incrementality,Uber India,7,0,offline,True,CDAC,"Support data collection, analysis and reporting for the incrementality practice at Toor-Bahri."
"Thapar Institute of Science and Technology, Solapur",Biostatistics,Practo,7,6077,online,False,TULIP,"Support data collection, analysis and reporting for the biostatistics practice at Puri-Bassi."
"Nitte Institute of Technology, Siddipet",Surgical Robotics,H&M India,8,0,offline,False,General,"Support data collection, analysis and reporting for the surgical robotics practice at Dass, Oza and Chauhan."
"Thiagarajar Business School, Gandhinagar",ZooKeeper,IBM India,6,0,offline,False,General,"Hands-on zookeeper internship: build, test and ship a real feature under a mentor."
"Siddhartha School of Management, Patna",Propulsion,C-DAC,6,9478,offline,False,General,"Hands-on propulsion internship: build, test and ship a real feature under a mentor."
"Chaitanya Institute of Science and Technology, Kozhikode",Trade Policy,Khadi India,8,9329,offline,False,General,Collaborate across teams on trade policy initiatives; present findings to stakeholders.
"Government Engineering College, Davanagere",Aero-engines,Reliance Retail,6,0,hybrid,False,General,Learn industry workflows in aero-engines while supporting day-to-day operations and quality checks.
"Vignan College of Engineering and Technology, Amritsar",Community Health,Puma India,7,8581,online,False,General,Collaborate across teams on community health initiatives; present findings to stakeholders.
"Nitte College of Engineering and Technology, Thrissur",Packer,Levi's India,9,13645,offline,False,General,Collaborate across teams on packer initiatives; present findings to stakeholders.
"Government College of Engineering, Shimla",Motion Graphics,Siemens Gamesa,9,7256,hybrid,False,General,"Assist senior engineers/researchers on motion graphics tasks, from requirements to testing and delivery."
"Lokmanya Institute of Applied Arts and Crafts, Kota",Risk Consulting,AICTE Internship Cell,6,7035,offline,False,General,"Hands-on risk consulting internship: build, test and ship a real feature under a mentor."
"Sri Venkateswara Institute of Science and Technology, Haldia",Recommendation Systems,H&M India,9,12901,offline,False,General,"Support data collection, analysis and reporting for the recommendation systems practice at Goswami-Dash."
"Government Institute of Management, Anantapur",Photogrammetry,L&T Energy,7,0,hybrid,False,General,"Support data collection, analysis and reporting for the photogrammetry practice at Gaba, Pandit and Seth."
"Shri Institute of Technology and Science, Aurangabad",Data Profiling,BHEL,9,6679,offline,False,General,Work on live projects with the Padmanabhan-Kumar data profiling team; contribute to sprint deliverables and documentation.
"Hindustan Institute of Engineering and Management, Durgapur",Microfluidics,IBM India,6,4076,offline,False,General,"Work on live projects with the Muni, Borah and Naidu microfluidics team; contribute to sprint deliverables and documentation."
"Jain Institute of Science and Technology, Bilaspur",CTR Modelling,UNICEF India,8,13347,online,False,TULIP,Collaborate across teams on ctr modelling initiatives; present findings to stakeholders.
"Institute of Technology, Ghaziabad",Orbital Mechanics,Decathlon India,8,9797,online,False,General,Learn industry workflows in orbital mechanics while supporting day-to-day operations and quality checks.
"Government Engineering College, Kolhapur",Pharmacovigilance,SAP Labs India,7,14916,offline,False,General,"Support data collection, analysis and reporting for the pharmacovigilance practice at Bedi, Dugar and Sarkar."
"Hindustan College of Engineering, Ajmer",Performance Engineering,Swiggy,6,10465,online,True,General,"Support data collection, analysis and reporting for the performance engineering practice at Rana-Natarajan."
"Bharath College of Applied Arts, Nainital",Named Entity Recognition,AICTE Internship Cell,6,12430,offline,False,CDAC,"Assist senior engineers/researchers on named entity recognition tasks, from requirements to testing and delivery."
"Vels Institute of Technology and Science, Solapur",Causal Inference,Maruti Suzuki,8,5614,offline,True,General,"Work on live projects with the Kaur, Prabhu and Deo causal inference team; contribute to sprint deliverables and documentation."
"Sri Indu College of Pharmacy and Research, Mysuru",Welding Technology,Google India,6,9562,offline,False,CDAC,Learn industry workflows in welding technology while supporting day-to-day operations and quality checks.
"Mahatma Gandhi Engineering College, Sagar",Cloud Engineering,SAP Labs India,7,5069,online,False,General,"Assist senior engineers/researchers on cloud engineering tasks, from requirements to testing and delivery."
"Government Institute of Management, Visakhapatnam",Operations Management,Nestle India,9,6348,online,False,General,"Hands-on operations management internship: build, test and ship a real feature under a mentor."
"Malla Reddy School of Architecture, Karaikal",Financial Modelling,IBM India,9,3075,online,False,General,Collaborate across teams on financial modelling initiatives; present findings to stakeholders.
"Government College of Engineering, Varanasi",A/B Testing,PayPal India,9,0,hybrid,False,General,"Assist senior engineers/researchers on a/b testing tasks, from requirements to testing and delivery."
"Rajalakshmi Institute of Management and Technology, Amravati",Imaging AI,Nykaa,6,9868,hybrid,False,General,Learn industry workflows in imaging ai while supporting day-to-day operations and quality checks.
"Reva Institute of Technology, Patiala",Health Education,Nike India,8,0,online,False,General,"Hands-on health education internship: build, test and ship a real feature under a mentor."
"Geethanjali Institute of Engineering and Polytechnic, Panipat",Quantum Materials,Tech Mahindra,8,0,offline,False,General,"Assist senior engineers/researchers on quantum materials tasks, from requirements to testing and delivery."
"Government College of Management Studies, Ghaziabad",Financial Analysis,World Bank India,7,14943,offline,False,General,"Hands-on financial analysis internship: build, test and ship a real feature under a mentor."
